Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCreateBucketAndListAllBuckets,Long Statement,The length of the statement "final List<Bucket> buckets=s3Client.listBuckets().stream().filter(b -> BUCKET_NAME.equals(b.getName())).collect(toList());" is 122.,91
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCreateBucketAndListAllBuckets,Magic Number,The method contains a magic number: 1000,91
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCreateBucketAndListAllBuckets,Magic Number,The method contains a magic number: 1000,91
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCreateBucketAndListAllBuckets,Magic Number,The method contains a magic number: 60000,91
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,defaultBucketsGotCreated,Long Statement,The length of the statement "final Set<String> bucketNames=buckets.stream().map(Bucket::getName).filter(INITIAL_BUCKET_NAMES::contains).collect(Collectors.toSet());" is 135.,117
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldUploadAndListV2Objects,Magic Number,The method contains a magic number: 3,144
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldUploadAndListV2Objects,Magic Number,The method contains a magic number: 3,144
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldUploadAndDownloadObject,Long Statement,The length of the statement "final AmazonS3 uploadClient=defaultTestAmazonS3ClientBuilder().withPayloadSigningEnabled(uploadWithSigning).withChunkedEncodingDisabled(uploadChunked).build();" is 159.,173
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldHonorEncodingType,Long Statement,The length of the statement "assertThatThrownBy(() -> s3Client.listObjects(lor)).isInstanceOf(SdkClientException.class).hasMessageContaining("Failed to parse XML document");" is 144.,287
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldHonorEncodingTypeV2,Long Statement,The length of the statement "assertThatThrownBy(() -> s3Client.listObjectsV2(lorv2)).isInstanceOf(SdkClientException.class).hasMessageContaining("Failed to parse XML document");" is 148.,315
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldUploadAndDownloadStream,Long Statement,The length of the statement "assertThat(s3Object.getObjectMetadata().getContentEncoding()).as("Uploaded File should have Encoding-Type set").isEqualTo(contentEncoding);" is 139.,340
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldUploadWithEncryption,Long Statement,The length of the statement "assertThat(objectMetadata.getUserMetadata()).as("User metadata should be identical!").isEqualTo(metadata.getUserMetadata());" is 124.,380
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldNotUploadWithWrongEncryptionKey,Long Statement,The length of the statement "assertThatThrownBy(() -> s3Client.putObject(putObjectRequest)).isInstanceOf(AmazonS3Exception.class).hasMessageContaining("Status Code: 400; Error Code: KMS.NotFoundException");" is 177.,408
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldNotUploadStreamingWithWrongEncryptionKey,Long Statement,The length of the statement "assertThatThrownBy(() -> s3Client.putObject(putObjectRequest)).isInstanceOf(AmazonS3Exception.class).hasMessageContaining("Status Code: 400; Error Code: KMS.NotFoundException");" is 177.,424
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCopyObject,Long Statement,The length of the statement "final CopyObjectRequest copyObjectRequest=new CopyObjectRequest(BUCKET_NAME`sourceKey`destinationBucketName`destinationKey);" is 124.,444
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCopyObjectWithNewUserMetadata,Long Statement,The length of the statement "final CopyObjectRequest copyObjectRequest=new CopyObjectRequest(BUCKET_NAME`sourceKey`destinationBucketName`destinationKey);" is 124.,475
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCopyObjectWithNewUserMetadata,Long Statement,The length of the statement "assertThat(copiedObject.getObjectMetadata().getUserMetadata()).as("User metadata should be identical!").isEqualTo(objectMetadata.getUserMetadata());" is 148.,475
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCopyObjectWithSourceUserMetadata,Long Statement,The length of the statement "final CopyObjectRequest copyObjectRequest=new CopyObjectRequest(BUCKET_NAME`sourceKey`destinationBucketName`destinationKey);" is 124.,514
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCopyObjectWithSourceUserMetadata,Long Statement,The length of the statement "assertThat(copiedObject.getObjectMetadata().getUserMetadata()).as("User metadata should be identical!").isEqualTo(sourceObjectMetadata.getUserMetadata());" is 154.,514
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCopyObjectToKeyNeedingEscaping,Long Statement,The length of the statement "final CopyObjectRequest copyObjectRequest=new CopyObjectRequest(BUCKET_NAME`sourceKey`destinationBucketName`destinationKey);" is 124.,555
