Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCreateBucketAndListAllBuckets,12,1,0,91,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,defaultBucketsGotCreated,5,1,0,117,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,putObjectWhereKeyContainsPathFragments,7,1,0,130,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldUploadAndListV2Objects,15,2,0,144,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldUploadAndDownloadObject,8,1,2,173,0,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldTolerateWeirdCharactersInObjectKey,9,1,0,200,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,verifyObjectContent,8,1,2,222,0,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldListWithCorrectObjectNames,12,1,0,234,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldListV2WithCorrectObjectNames,16,1,0,258,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldHonorEncodingType,10,1,0,287,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldHonorEncodingTypeV2,12,1,0,315,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldUploadAndDownloadStream,20,1,0,340,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldUploadWithEncryption,14,1,0,380,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldNotUploadWithWrongEncryptionKey,7,1,0,408,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldNotUploadStreamingWithWrongEncryptionKey,11,1,0,424,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCopyObject,15,1,0,444,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCopyObjectWithNewUserMetadata,19,1,0,475,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCopyObjectWithSourceUserMetadata,20,1,0,514,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCopyObjectToKeyNeedingEscaping,15,1,0,555,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCopyObjectFromKeyNeedingEscaping,15,1,0,586,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCopyObjectEncrypted,17,1,0,617,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldNotObjectCopyWithWrongEncryptionKey,12,1,0,650,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,bucketShouldExist,5,1,0,674,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,bucketShouldNotExist,4,1,0,688,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldGetObjectMetadata,14,1,0,700,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldDeleteObject,7,1,0,731,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldBatchDeleteObjects,24,1,0,747,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldDeleteBucket,6,1,0,788,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldNotDeleteNonEmptyBucket,6,1,0,800,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldGetObjectListing,8,1,0,815,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldUploadInParallel,10,1,0,836,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,checkRangeDownloads,15,1,0,858,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,multipartCopy,18,1,0,889,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldAddAndRetrieveTags,17,1,0,926,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,canAddTagsOnPutObject,13,1,0,963,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCreateAndRespectEtag,26,1,0,996,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,generatePresignedUrlWithResponseHeaderOverrides,23,1,0,1055,1,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,openUrlConnection,19,1,1,1096,0,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,getAcceptedIssuers,3,1,0,1100,0,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,checkClientTrusted,2,1,2,1105,0,,
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,checkServerTrusted,2,1,2,1109,0,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,putObjectOnNonExistingBucket,4,1,0,59,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,putObjectEncryptedOnNonExistingBucket,6,1,0,73,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,copyObjectToNonExistingDestinationBucket,10,1,0,91,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,copyObjectEncryptedToNonExistingDestinationBucket,11,1,0,113,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,getObjectMetadataWithNonExistingBucket,8,1,0,137,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,getNonExistingObject,5,1,0,155,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,deleteFromNonExistingBucket,6,1,0,168,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,deleteNonExistingObject,4,1,0,182,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,batchDeleteObjectsFromNonExistingBucket,10,1,0,193,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,deleteNonExistingBucket,3,1,0,217,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,listObjectsFromNonExistingBucket,3,1,0,227,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,uploadParallelToNonExistingBucket,10,1,0,237,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,multipartUploadsToNonExistingBucket,3,1,0,257,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,listMultipartUploadsFromNonExistingBucket,5,1,0,268,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,abortMultipartUploadInNonExistingBucket,7,1,0,283,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,uploadMultipartWithInvalidPartNumber,9,1,0,303,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,completeMultipartUploadWithNonExistingPartNumber,11,1,0,329,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,rangeDownloadsFromNonExistingBucket,9,1,0,362,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,rangeDownloadsFromNonExistingObject,9,1,0,387,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,multipartCopyToNonExistingBucket,14,1,0,412,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,multipartCopyNonExistingObject,15,1,0,444,1,,
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesV2IT,getNonExistingObject,5,1,0,30,1,,
S3Mock,com.adobe.testing.s3mock.its,EtagInputStream,EtagInputStream,4,1,2,40,0,,
S3Mock,com.adobe.testing.s3mock.its,EtagInputStream,getEtag,10,3,0,51,0,,
S3Mock,com.adobe.testing.s3mock.its,EtagInputStream,read,15,3,3,67,0,,
S3Mock,com.adobe.testing.s3mock.its,EtagInputStream,close,4,1,0,85,0,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectIT,param,3,1,3,100,0,,
S3Mock,com.adobe.testing.s3mock.its,ListObjectIT,data,3,1,0,104,0,com.adobe.testing.s3mock.its.ListObjectIT,com.adobe.testing.s3mock.its.ListObjectIT
