Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
S3Mock,com.adobe.testing.s3mock,BucketController,listObjects,Long Parameter List,The method has 6 parameters. ,135
S3Mock,com.adobe.testing.s3mock,BucketController,listObjectsV2,Long Parameter List,The method has 7 parameters. ,172
S3Mock,com.adobe.testing.s3mock,BucketController,listObjectsV2,Long Statement,The length of the statement "ListBucketResultV2 listBucketResultV2=bucketService.listObjectsV2(bucketName`prefix`delimiter`encodingType`startAfter`maxKeys`continuationToken);" is 145.,172
S3Mock,com.adobe.testing.s3mock,KmsValidationFilter,doFilterInternal,Complex Conditional,The conditional expression AWS_KMS.equals(encryptionTypeHeader) && !isBlank(encryptionKeyId) && !keystore.validateKeyId(encryptionKeyId) is complex.,63
S3Mock,com.adobe.testing.s3mock,KmsValidationFilter,doFilterInternal,Complex Conditional,The conditional expression AWS_KMS.equals(encryptionTypeHeader) && !isBlank(encryptionKeyId) && keystore.validateKeyId(encryptionKeyId) is complex.,63
S3Mock,com.adobe.testing.s3mock,MultipartController,uploadPart,Long Parameter List,The method has 8 parameters. ,182
S3Mock,com.adobe.testing.s3mock,MultipartController,uploadPart,Long Statement,The length of the statement "String etag=multipartService.putPart(bucketName`key.getKey()`uploadId`partNumber`inputStream`isV4ChunkedWithSigningEnabled(sha256Header)`encryption`kmsKeyId);" is 158.,182
S3Mock,com.adobe.testing.s3mock,MultipartController,uploadPartCopy,Long Parameter List,The method has 8 parameters. ,232
S3Mock,com.adobe.testing.s3mock,MultipartController,uploadPartCopy,Long Statement,The length of the statement "CopyPartResult result=multipartService.copyPart(copySource.getBucket()`copySource.getKey()`copyRange`partNumber`bucketName`key.getKey()`uploadId);" is 146.,232
S3Mock,com.adobe.testing.s3mock,MultipartController,createMultipartUpload,Long Parameter List,The method has 7 parameters. ,284
S3Mock,com.adobe.testing.s3mock,MultipartController,createMultipartUpload,Long Statement,The length of the statement "InitiateMultipartUploadResult result=multipartService.prepareMultipartUpload(bucketName`key.getKey()`contentType`contentEncoding`uploadId`DEFAULT_OWNER`DEFAULT_OWNER`userMetadata);" is 180.,284
S3Mock,com.adobe.testing.s3mock,MultipartController,completeMultipartUpload,Long Parameter List,The method has 7 parameters. ,324
S3Mock,com.adobe.testing.s3mock,MultipartController,completeMultipartUpload,Long Statement,The length of the statement "CompleteMultipartUploadResult result=multipartService.completeMultipartUpload(bucketName`key.getKey()`uploadId`upload.getParts()`encryption`kmsKeyId`request.getRequestURL().toString());" is 185.,324
S3Mock,com.adobe.testing.s3mock,ObjectController,headObject,Long Statement,The length of the statement "return ResponseEntity.ok().headers(headers -> headers.setAll(createUserMetadataHeaders(s3ObjectMetadata))).headers(headers -> headers.setAll(createEncryptionHeaders(s3ObjectMetadata))).contentType(parseMediaType(s3ObjectMetadata.getContentType())).eTag("\"" + s3ObjectMetadata.getEtag() + "\"").contentLength(Long.parseLong(s3ObjectMetadata.getSize())).lastModified(s3ObjectMetadata.getLastModified()).build();" is 410.,132
