Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
S3Mock,com.adobe.testing.s3mock,BucketController,BucketController,3,1,1,46,0,,
S3Mock,com.adobe.testing.s3mock,BucketController,listBuckets,4,1,0,54,0,,
S3Mock,com.adobe.testing.s3mock,BucketController,createBucket,6,1,1,76,0,,
S3Mock,com.adobe.testing.s3mock,BucketController,headBucket,4,1,1,99,0,,
S3Mock,com.adobe.testing.s3mock,BucketController,deleteBucket,6,1,1,116,0,,
S3Mock,com.adobe.testing.s3mock,BucketController,listObjects,7,1,6,135,0,,
S3Mock,com.adobe.testing.s3mock,BucketController,listObjectsV2,7,1,7,172,0,,
S3Mock,com.adobe.testing.s3mock,FaviconController,favicon,2,1,0,28,0,,
S3Mock,com.adobe.testing.s3mock,KmsValidationFilter,KmsValidationFilter,4,1,2,52,0,,
S3Mock,com.adobe.testing.s3mock,KmsValidationFilter,doFilterInternal,32,3,3,63,0,,
S3Mock,com.adobe.testing.s3mock,MultipartController,MultipartController,5,1,3,73,0,,
S3Mock,com.adobe.testing.s3mock,MultipartController,listMultipartUploads,5,1,2,84,0,,
S3Mock,com.adobe.testing.s3mock,MultipartController,abortMultipartUpload,5,1,3,125,0,,
S3Mock,com.adobe.testing.s3mock,MultipartController,listParts,6,1,3,151,0,,
S3Mock,com.adobe.testing.s3mock,MultipartController,uploadPart,6,1,8,182,0,,
S3Mock,com.adobe.testing.s3mock,MultipartController,uploadPartCopy,6,1,8,232,0,,
S3Mock,com.adobe.testing.s3mock,MultipartController,createMultipartUpload,7,1,7,284,0,,
S3Mock,com.adobe.testing.s3mock,MultipartController,completeMultipartUpload,6,1,7,324,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,ObjectController,4,1,2,92,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,deleteObjects,5,1,2,101,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,headObject,10,2,2,132,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,deleteObject,5,1,2,163,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,getObject,9,2,6,186,0,com.adobe.testing.s3mock.ObjectController,com.adobe.testing.s3mock.ObjectController
S3Mock,com.adobe.testing.s3mock,ObjectController,getObjectTagging,7,1,2,235,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,putObjectTagging,6,1,3,265,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,putObject,7,1,11,293,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,copyObject,13,3,7,352,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,getObjectWithRange,19,3,2,409,0,,
S3Mock,com.adobe.testing.s3mock,S3Exception,S3Exception,6,1,3,86,0,,
