Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
S3Mock,com.adobe.testing.s3mock,BucketController,1,0,7,7,79,7,0,0,0.0,1,4,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\BucketController.java,38
S3Mock,com.adobe.testing.s3mock,FaviconController,0,0,1,0,7,1,0,0,-1.0,1,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\FaviconController.java,22
S3Mock,com.adobe.testing.s3mock,KmsValidationFilter,4,0,2,0,49,4,0,0,0.0,0,2,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\KmsValidationFilter.java,38
S3Mock,com.adobe.testing.s3mock,MultipartController,3,0,8,8,100,8,0,0,0.0,1,12,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\MultipartController.java,62
S3Mock,com.adobe.testing.s3mock,ObjectController,3,0,10,9,143,16,0,0,0.0,1,10,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\ObjectController.java,81
S3Mock,com.adobe.testing.s3mock,S3Exception,18,15,4,4,44,4,0,0,0.0,2,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\S3Exception.java,26
S3Mock,com.adobe.testing.s3mock,S3MockApplication,23,17,9,7,152,14,0,0,0.7777777777777778,3,2,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\S3MockApplication.java,33
S3Mock,com.adobe.testing.s3mock,S3MockConfiguration,3,0,16,2,121,16,0,0,0.9375,1,10,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\S3MockConfiguration.java,53
S3Mock,com.adobe.testing.s3mock,S3MockConfiguration.S3MockExceptionHandler,1,0,0,0,21,0,0,0,-1.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\S3MockConfiguration.java,175
S3Mock,com.adobe.testing.s3mock,S3MockConfiguration.IllegalStateExceptionHandler,1,0,0,0,21,0,0,0,-1.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\S3MockConfiguration.java,209
S3Mock,com.adobe.testing.s3mock,S3MockProperties,2,0,4,4,22,4,0,0,0.5,1,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\S3MockProperties.java,21
S3Mock,com.adobe.testing.s3mock,TaggingHeaderConverter,1,0,1,1,18,3,0,0,0.0,2,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\TaggingHeaderConverter.java,27
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,6,0,19,0,119,19,0,0,0.0,0,10,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\BucketControllerTest.java,64
S3Mock,com.adobe.testing.s3mock,ContextPathObjectStoreControllerTest,6,0,1,0,16,1,0,0,0.0,0,4,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\ContextPathObjectStoreControllerTest.java,48
S3Mock,com.adobe.testing.s3mock,FaviconControllerTest,1,0,1,0,7,1,0,0,0.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\FaviconControllerTest.java,35
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,6,0,7,0,85,11,0,0,0.0,0,7,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\MultipartControllerTest.java,57
S3Mock,com.adobe.testing.s3mock,ObjectControllerTest,6,0,9,0,78,9,0,0,0.0,0,5,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\ObjectControllerTest.java,58
S3Mock,com.adobe.testing.s3mock,TaggingHeaderConverterTest,0,0,2,0,20,2,0,0,-1.0,0,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\TaggingHeaderConverterTest.java,25
S3Mock,com.adobe.testing.s3mock.dto,Bucket,3,0,8,8,43,9,0,0,0.25,6,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Bucket.java,25
S3Mock,com.adobe.testing.s3mock.dto,Buckets,1,0,2,2,12,2,0,0,0.0,1,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Buckets.java,24
S3Mock,com.adobe.testing.s3mock.dto,CompletedPart,2,0,4,4,19,4,1,0,0.5,3,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\CompletedPart.java,24
S3Mock,com.adobe.testing.s3mock.dto,CompleteMultipartUpload,1,0,3,3,15,3,0,0,0.0,3,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\CompleteMultipartUpload.java,25
S3Mock,com.adobe.testing.s3mock.dto,CompleteMultipartUploadResult,4,0,1,1,22,1,0,0,0.0,2,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\CompleteMultipartUploadResult.java,23
S3Mock,com.adobe.testing.s3mock.dto,CopyObjectResult,2,0,5,5,28,5,0,0,0.0,2,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\CopyObjectResult.java,23
S3Mock,com.adobe.testing.s3mock.dto,CopyPartResult,2,0,4,4,20,4,0,0,0.0,3,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\CopyPartResult.java,25
S3Mock,com.adobe.testing.s3mock.dto,CopySource,3,1,5,3,40,7,0,0,0.0,3,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\CopySource.java,22
S3Mock,com.adobe.testing.s3mock.dto,Delete,2,0,4,4,19,4,0,0,0.5,3,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Delete.java,24
S3Mock,com.adobe.testing.s3mock.dto,DeletedS3Object,2,0,5,5,25,5,0,1,0.6,3,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\DeletedS3Object.java,22
S3Mock,com.adobe.testing.s3mock.dto,DeleteResult,2,0,4,4,19,4,0,0,0.5,3,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\DeleteResult.java,25
S3Mock,com.adobe.testing.s3mock.dto,Error,4,0,9,9,39,9,0,0,0.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Error.java,21
