Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
S3Mock,com.adobe.testing.s3mock,BucketController,Feature Envy,The tool detected a instance of this smell because createBucket is more interested in members of the type: BucketService
S3Mock,com.adobe.testing.s3mock,BucketController,Feature Envy,The tool detected a instance of this smell because deleteBucket is more interested in members of the type: BucketService
S3Mock,com.adobe.testing.s3mock,BucketController,Feature Envy,The tool detected a instance of this smell because getObjectLockConfiguration is more interested in members of the type: BucketService
S3Mock,com.adobe.testing.s3mock,BucketController,Feature Envy,The tool detected a instance of this smell because putObjectLockConfiguration is more interested in members of the type: BucketService
S3Mock,com.adobe.testing.s3mock,BucketController,Feature Envy,The tool detected a instance of this smell because getBucketLifecycleConfiguration is more interested in members of the type: BucketService
S3Mock,com.adobe.testing.s3mock,BucketController,Feature Envy,The tool detected a instance of this smell because putBucketLifecycleConfiguration is more interested in members of the type: BucketService
S3Mock,com.adobe.testing.s3mock,BucketController,Feature Envy,The tool detected a instance of this smell because deleteBucketLifecycleConfiguration is more interested in members of the type: BucketService
S3Mock,com.adobe.testing.s3mock,BucketController,Feature Envy,The tool detected a instance of this smell because listObjects is more interested in members of the type: BucketService
S3Mock,com.adobe.testing.s3mock,BucketController,Feature Envy,The tool detected a instance of this smell because listObjectsV2 is more interested in members of the type: BucketService
S3Mock,com.adobe.testing.s3mock,KmsValidationFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock,MultipartController,Feature Envy,The tool detected a instance of this smell because uploadPart is more interested in members of the type: MultipartService
S3Mock,com.adobe.testing.s3mock,MultipartController,Feature Envy,The tool detected a instance of this smell because completeMultipartUpload is more interested in members of the type: MultipartService
S3Mock,com.adobe.testing.s3mock,ObjectController,Feature Envy,The tool detected a instance of this smell because copyObject is more interested in members of the type: ObjectService
S3Mock,com.adobe.testing.s3mock,S3Exception,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: INVALID_PART_NUMBER; INVALID_PART; INVALID_PART_ORDER; NO_SUCH_UPLOAD_MULTIPART; ENTITY_TOO_SMALL; NO_SUCH_BUCKET; NO_SUCH_LIFECYCLE_CONFIGURATION; NO_SUCH_KEY; NOT_MODIFIED; PRECONDITION_FAILED; BUCKET_NOT_EMPTY; INVALID_BUCKET_NAME; BUCKET_ALREADY_EXISTS; BUCKET_ALREADY_OWNED_BY_YOU; NOT_FOUND_BUCKET_OBJECT_LOCK; NOT_FOUND_OBJECT_LOCK; INVALID_REQUEST_RETAINDATE; INVALID_REQUEST_MAXKEYS; INVALID_REQUEST_ENCODINGTYPE; BAD_REQUEST_MD5; BAD_REQUEST_CONTENT; status; code; message
S3Mock,com.adobe.testing.s3mock,S3MockApplication,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_HTTPS_PORT; DEFAULT_HTTP_PORT; RANDOM_PORT; DEFAULT_SERVER_SSL_KEY_STORE; DEFAULT_SERVER_SSL_KEY_STORE_PASSWORD; DEFAULT_SERVER_SSL_KEY_ALIAS; DEFAULT_SERVER_SSL_KEY_PASSWORD; PROP_INITIAL_BUCKETS; LEGACY_PROP_INITIAL_BUCKETS; PROP_ROOT_DIRECTORY; LEGACY_PROP_ROOT_DIRECTORY; PROP_HTTPS_PORT; PROP_HTTP_PORT; SERVER_SSL_KEY_STORE; SERVER_SSL_KEY_STORE_PASSWORD; SERVER_SSL_KEY_ALIAS; SERVER_SSL_KEY_PASSWORD; PROP_SECURE_CONNECTION; PROP_SILENT; context; kmsKeyStore; environment; config
S3Mock,com.adobe.testing.s3mock,S3MockConfiguration.S3MockExceptionHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: LOG
S3Mock,com.adobe.testing.s3mock,S3MockConfiguration.S3MockExceptionHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock,S3MockConfiguration.IllegalStateExceptionHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: LOG
S3Mock,com.adobe.testing.s3mock,S3MockConfiguration.IllegalStateExceptionHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,CopySource,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DELIMITER; bucket; key
S3Mock,com.adobe.testing.s3mock.dto,DeletedS3Object,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): S3ObjectIdentifier
S3Mock,com.adobe.testing.s3mock.dto,Error,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,Grant.Permission,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,Grantee.CanonicalUser,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.dto,Grantee.CanonicalUser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,Grantee.Group,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.dto,Grantee.Group,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,Grantee.AmazonCustomerByEmail,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
S3Mock,com.adobe.testing.s3mock.dto,Grantee.AmazonCustomerByEmail,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,InstantDeserializer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,InstantSerializer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,LegalHold.Status,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,LifecycleRule,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
S3Mock,com.adobe.testing.s3mock.dto,LifecycleRule.Status,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,NoncurrentVersionTransition,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,Owner,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_OWNER; id; displayName
S3Mock,com.adobe.testing.s3mock.dto,Part,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CompletedPart
S3Mock,com.adobe.testing.s3mock.dto,Prefix,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,RegionSerializer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.dto,DtoTestUtil,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.service,BucketService,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
S3Mock,com.adobe.testing.s3mock.service,ServiceConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
S3Mock,com.adobe.testing.s3mock.service,BucketServiceTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ServiceTestBase
S3Mock,com.adobe.testing.s3mock.service,BucketServiceTest,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 30 methods
S3Mock,com.adobe.testing.s3mock.service,BucketServiceTest.Param,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: prefix; delimiter; expectedPrefixes; expectedKeys
S3Mock,com.adobe.testing.s3mock.service,BucketServiceTest.Param,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
