Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
S3Mock,com.adobe.testing.s3mock.domain,BucketContents,BucketContents,Long Parameter List,The method has 6 parameters. ,56
S3Mock,com.adobe.testing.s3mock.domain,FileStore,bucketFromPath,Long Statement,The length of the statement "result=new Bucket(path`path.getFileName().toString()`S3_OBJECT_DATE_FORMAT.format(new Date(attributes.creationTime().toMillis())));" is 131.,182
S3Mock,com.adobe.testing.s3mock.domain,FileStore,putS3Object,Long Parameter List,The method has 6 parameters. ,198
S3Mock,com.adobe.testing.s3mock.domain,FileStore,putS3Object,Long Statement,The length of the statement "return putS3Object(bucketName`fileName`contentType`contentEncoding`dataStream`useV4ChunkedWithSigningFormat`Collections.emptyMap());" is 132.,198
S3Mock,com.adobe.testing.s3mock.domain,FileStore,putS3Object,Long Parameter List,The method has 7 parameters. ,222
S3Mock,com.adobe.testing.s3mock.domain,FileStore,putS3Object,Long Statement,The length of the statement "final File dataFile=inputStreamToFile(wrapStream(dataStream`useV4ChunkedWithSigningFormat)`objectRootFolder.toPath().resolve(DATA_FILE));" is 137.,222
S3Mock,com.adobe.testing.s3mock.domain,FileStore,putS3ObjectWithKMSEncryption,Long Parameter List,The method has 7 parameters. ,288
S3Mock,com.adobe.testing.s3mock.domain,FileStore,putS3ObjectWithKMSEncryption,Long Statement,The length of the statement "return putS3ObjectWithKMSEncryption(bucketName`fileName`contentType`dataStream`useV4Signing`Collections.emptyMap()`encryption`kmsKeyId);" is 136.,288
S3Mock,com.adobe.testing.s3mock.domain,FileStore,putS3ObjectWithKMSEncryption,Long Parameter List,The method has 8 parameters. ,313
S3Mock,com.adobe.testing.s3mock.domain,FileStore,putS3ObjectWithKMSEncryption,Long Statement,The length of the statement "final File dataFile=inputStreamToFile(wrapStream(dataStream`useV4ChunkedWithSigningFormat)`objectRootFolder.toPath().resolve(DATA_FILE));" is 137.,313
S3Mock,com.adobe.testing.s3mock.domain,FileStore,inputStreamToFile,Magic Number,The method contains a magic number: 1024,426
S3Mock,com.adobe.testing.s3mock.domain,FileStore,getS3Objects,Long Statement,The length of the statement "final Set<Path> collect=directoryHierarchy.filter(path -> path.toFile().isDirectory()).map(path -> theBucket.getPath().relativize(path)).filter(path -> isEmpty(prefix) || (null != normalizedPrefix && path.toString().startsWith(normalizedPrefix))).collect(toSet());" is 264.,519
S3Mock,com.adobe.testing.s3mock.domain,FileStore,copyS3Object,Long Statement,The length of the statement "final S3Object copiedObject=putS3Object(destinationBucketName`destinationObjectName`sourceObject.getContentType()`sourceObject.getContentEncoding()`new FileInputStream(sourceObject.getDataFile())`false`sourceObject.getUserMetadata());" is 234.,559
S3Mock,com.adobe.testing.s3mock.domain,FileStore,copyS3Object,Long Parameter List,The method has 5 parameters. ,593
S3Mock,com.adobe.testing.s3mock.domain,FileStore,copyS3Object,Long Statement,The length of the statement "final S3Object copiedObject=putS3Object(destinationBucketName`destinationObjectName`sourceObject.getContentType()`sourceObject.getContentEncoding()`new FileInputStream(sourceObject.getDataFile())`false`userMetadata);" is 216.,593
S3Mock,com.adobe.testing.s3mock.domain,FileStore,copyS3ObjectEncrypted,Long Parameter List,The method has 6 parameters. ,629
S3Mock,com.adobe.testing.s3mock.domain,FileStore,copyS3ObjectEncrypted,Long Statement,The length of the statement "final S3Object copiedObject=putS3ObjectWithKMSEncryption(destinationBucketName`destinationObjectName`sourceObject.getContentType()`new FileInputStream(sourceObject.getDataFile())`false`sourceObject.getUserMetadata()`encryption`kmsKeyId);" is 237.,629
S3Mock,com.adobe.testing.s3mock.domain,FileStore,copyS3ObjectEncrypted,Long Parameter List,The method has 7 parameters. ,666
S3Mock,com.adobe.testing.s3mock.domain,FileStore,copyS3ObjectEncrypted,Long Statement,The length of the statement "final S3Object copiedObject=putS3ObjectWithKMSEncryption(destinationBucketName`destinationObjectName`sourceObject.getContentType()`new FileInputStream(sourceObject.getDataFile())`false`userMetadata`encryption`kmsKeyId);" is 219.,666
S3Mock,com.adobe.testing.s3mock.domain,FileStore,prepareMultipartUpload,Long Parameter List,The method has 8 parameters. ,758
S3Mock,com.adobe.testing.s3mock.domain,FileStore,prepareMultipartUpload,Long Parameter List,The method has 7 parameters. ,789
S3Mock,com.adobe.testing.s3mock.domain,FileStore,prepareMultipartUpload,Long Statement,The length of the statement "return prepareMultipartUpload(bucketName`fileName`contentType`contentEncoding`uploadId`owner`initiator`Collections.emptyMap());" is 127.,789
S3Mock,com.adobe.testing.s3mock.domain,FileStore,putPart,Long Parameter List,The method has 6 parameters. ,847
S3Mock,com.adobe.testing.s3mock.domain,FileStore,putPart,Long Statement,The length of the statement "try (final DigestInputStream digestingInputStream=new DigestInputStream(wrapStream(inputStream`useV4ChunkedWithSigningFormat)`MessageDigest.getInstance("MD5"))){" is 161.,847
S3Mock,com.adobe.testing.s3mock.domain,FileStore,putPart,Long Statement,The length of the statement "inputStreamToFile(digestingInputStream`Paths.get(rootFolder.getAbsolutePath()`bucketName`fileName`uploadId`partNumber + PART_SUFFIX));" is 134.,847
S3Mock,com.adobe.testing.s3mock.domain,FileStore,completeMultipartUpload,Long Parameter List,The method has 6 parameters. ,896
S3Mock,com.adobe.testing.s3mock.domain,FileStore,copyPart,Long Parameter List,The method has 8 parameters. ,1115
S3Mock,com.adobe.testing.s3mock.domain,FileStore,copyPart,Long Parameter List,The method has 5 parameters. ,1149
S3Mock,com.adobe.testing.s3mock.domain,FileStore,copyPart,Long Statement,The length of the statement "try (final InputStream sourceStream=FileUtils.openInputStream(s3Object.getDataFile());final OutputStream targetStream=new FileOutputStream(partFile)){" is 150.,1149
S3Mock,com.adobe.testing.s3mock.domain,FileStore,ensurePartFile,Long Statement,The length of the statement "final File partFile=Paths.get(rootFolder.getAbsolutePath()`destinationBucket`destinationFilename`uploadId`partNumber + PART_SUFFIX).toFile();" is 141.,1167
S3Mock,com.adobe.testing.s3mock.domain,FileStoreTest,bucketShouldExist,Long Statement,The length of the statement "assertThat(String.format("The previously created bucket` '%s'` should exist!"`TEST_BUCKET_NAME)`doesBucketExist`is(true));" is 122.,111
S3Mock,com.adobe.testing.s3mock.domain,FileStoreTest,shouldHoldAllBuckets,Magic Number,The method contains a magic number: 3,139
S3Mock,com.adobe.testing.s3mock.domain,FileStoreTest,shouldStoreFileInBucket,Long Statement,The length of the statement "final S3Object returnedObject=fileStore.putS3Object(TEST_BUCKET_NAME`name`null`ENCODING_GZIP`new FileInputStream(sourceFile)`false);" is 132.,174
S3Mock,com.adobe.testing.s3mock.domain,FileStoreTest,shouldStoreFileInBucket,Long Statement,The length of the statement "assertThat("ContentType should be '" + "binary/octet-stream" + "'"`returnedObject.getContentType()`is("binary/octet-stream"));" is 126.,174
S3Mock,com.adobe.testing.s3mock.domain,FileStoreTest,shouldStoreObjectEncrypted,Long Statement,The length of the statement "final S3Object returnedObject=fileStore.putS3ObjectWithKMSEncryption(TEST_BUCKET_NAME`name`contentType`new ByteArrayInputStream(SIGNED_CONTENT.getBytes(UTF_8))`true`TEST_ENC_TYPE`TEST_ENC_KEY);" is 193.,203
S3Mock,com.adobe.testing.s3mock.domain,FileStoreTest,shouldGetEncryptedObject,Long Statement,The length of the statement "fileStore.putS3ObjectWithKMSEncryption(TEST_BUCKET_NAME`name`contentType`new ByteArrayInputStream(SIGNED_CONTENT.getBytes(UTF_8))`true`TEST_ENC_TYPE`TEST_ENC_KEY);" is 163.,233
S3Mock,com.adobe.testing.s3mock.domain,FileStoreTest,shouldCopyObjectEncrypted,Long Statement,The length of the statement "fileStore.copyS3ObjectEncrypted(sourceBucketName`sourceObjectName`destinationBucketName`destinationObjectName`TEST_ENC_TYPE`TEST_ENC_KEY);" is 138.,380
S3Mock,com.adobe.testing.s3mock.domain,FileStoreTest,shouldCreateMultipartUploadFolder,Long Statement,The length of the statement "fileStore.prepareMultipartUpload(TEST_BUCKET_NAME`"aFile"`DEFAULT_CONTENT_TYPE`ENCODING_GZIP`"12345"`TEST_OWNER`TEST_OWNER);" is 124.,460
S3Mock,com.adobe.testing.s3mock.domain,FileStoreTest,shouldCreateMultipartUploadFolderIfBucketExists,Long Statement,The length of the statement "fileStore.prepareMultipartUpload(TEST_BUCKET_NAME`"aFile"`DEFAULT_CONTENT_TYPE`ENCODING_GZIP`"12345"`TEST_OWNER`TEST_OWNER);" is 124.,472
