Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
S3Mock,com.adobe.testing.s3mock.domain,Bucket,3,0,7,7,37,7,0,0,0.0,3,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\domain\Bucket.java,23
S3Mock,com.adobe.testing.s3mock.domain,BucketContents,6,0,8,8,51,8,0,0,0.25,1,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\domain\BucketContents.java,24
S3Mock,com.adobe.testing.s3mock.domain,Buckets,1,0,2,2,12,2,0,0,0.0,1,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\domain\Buckets.java,24
S3Mock,com.adobe.testing.s3mock.domain,FileStore,9,0,48,27,757,78,0,0,0.0625,3,7,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\domain\FileStore.java,73
S3Mock,com.adobe.testing.s3mock.domain,KmsKeyStore,2,0,3,2,25,3,0,0,0.6666666666666666,2,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\domain\KmsKeyStore.java,27
S3Mock,com.adobe.testing.s3mock.domain,MultipartUploadInfo,4,0,1,0,15,1,0,0,0.0,1,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\domain\MultipartUploadInfo.java,22
S3Mock,com.adobe.testing.s3mock.domain,S3Exception,3,0,4,4,29,4,0,0,0.0,1,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\domain\S3Exception.java,19
S3Mock,com.adobe.testing.s3mock.domain,S3Object,14,0,28,28,103,28,0,0,0.5,4,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\domain\S3Object.java,25
S3Mock,com.adobe.testing.s3mock.domain,Tag,2,0,8,8,35,10,0,0,0.25,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\domain\Tag.java,22
S3Mock,com.adobe.testing.s3mock.domain,FileStoreTest,12,0,37,34,426,40,0,0,0.0,0,7,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\domain\FileStoreTest.java,57
