Project Name,Package Name,Architecture Smell,Cause of the Smell
S3Mock,com.adobe.testing.s3mock.its,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AmazonClientUploadIT; S3TestBase; ErrorResponsesIT; ErrorResponsesV2IT; ListObjectIT; ListObjectV1MaxKeysIT; ListObjectV1PaginationIT; MultiPartUploadIT; PlainHttpIT]; [EtagInputStream]; [ListObjectIT.Param]. LCC (Lack of Component Cohesion) = 0.27
S3Mock,com.adobe.testing.s3mock.dto,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 39
S3Mock,com.adobe.testing.s3mock.dto,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.dto; com.adobe.testing.s3mock.util
S3Mock,com.adobe.testing.s3mock.dto,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.dto; com.adobe.testing.s3mock.util; com.adobe.testing.s3mock.store
S3Mock,com.adobe.testing.s3mock.dto,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.adobe.testing.s3mock.util
S3Mock,com.adobe.testing.s3mock.dto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BatchDeleteRequest]; [BatchDeleteResponse; ObjectIdentifier; BatchDeleteResponseTest]; [Bucket; ListAllMyBucketsResultTest; Buckets; ListAllMyBucketsResult]; [BucketContents; Owner; ListBucketResultTest; ListBucketResultV2Test; ListBucketResult; ListBucketResultV2; MultipartUpload]; [CompleteMultipartUploadRequest]; [CompleteMultipartUploadResult; CompleteMultipartUploadResultTest]; [CopyObjectResult; CopyObjectResultTest]; [CopyPartResult; CopyPartResultTest]; [ErrorResponse; ErrorResponseTest]; [EtagSerializer; EtagSerializerTest]; [InitiateMultipartUploadResult; InitiateMultipartUploadResultTest]; [ListMultipartUploadsResult; ListMultipartUploadsResultTest]; [ListPartsResult; ListPartsResultTest; Part]; [ObjectRef]; [Prefix]; [Range]; [Tag]; [Tagging]; [DtoTestUtil]. LCC (Lack of Component Cohesion) = 0.49
S3Mock,com.adobe.testing.s3mock,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FaviconController; S3MockConfiguration; S3MockProperties; FileStoreController; MetadataDirective; S3MockApplication]; [KmsValidationFilter]; [S3MockConfiguration.S3MockExceptionHandler]; [ContextPathFileStoreControllerTest]; [FaviconControllerTest]; [FileStoreControllerTest]; [FileStoreControllerTest.Param]. LCC (Lack of Component Cohesion) = 0.58
S3Mock,com.adobe.testing.s3mock.store,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.store; com.adobe.testing.s3mock.util
S3Mock,com.adobe.testing.s3mock.store,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.store; com.adobe.testing.s3mock.dto; com.adobe.testing.s3mock.util
S3Mock,com.adobe.testing.s3mock.store,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DomainConfiguration; DomainProperties; FileStore; KmsKeyStore; MultipartUploadInfo; S3Object; FileStoreTest; KmsKeyStoreTest]; [S3Exception]; [ObjectRefTest]. LCC (Lack of Component Cohesion) = 0.3
S3Mock,com.adobe.testing.s3mock.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.util; com.adobe.testing.s3mock.store
S3Mock,com.adobe.testing.s3mock.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.util; com.adobe.testing.s3mock.store; com.adobe.testing.s3mock.dto
S3Mock,com.adobe.testing.s3mock.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.adobe.testing.s3mock.store
S3Mock,com.adobe.testing.s3mock.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AwsChunkedDecodingInputStream]; [AwsHttpHeaders]; [AwsHttpParameters]; [DigestUtil]; [MetadataUtil]; [StringEncoding]; [RangeTest]; [StringEncodingTest]. LCC (Lack of Component Cohesion) = 1.0
