Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCreateBucketAndListAllBuckets,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldUploadAndListV2Objects,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldTolerateWeirdCharactersInObjectKey,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldListWithCorrectObjectNames,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldListV2WithCorrectObjectNames,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldHonorEncodingType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldHonorEncodingTypeV2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldUploadAndDownloadStream,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldUploadWithEncryption,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCopyObjectWithNewUserMetadata,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCopyObjectWithSourceUserMetadata,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCopyObjectEncrypted,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldGetObjectMetadata,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldBatchDeleteObjects,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldGetObjectListing,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldUploadInParallel,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,checkRangeDownloads,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,multipartCopy,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldAddAndRetrieveTags,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,canAddTagsOnPutObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,shouldCreateAndRespectEtag,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
S3Mock,com.adobe.testing.s3mock.its,AmazonClientUploadIT,generatePresignedUrlWithResponseHeaderOverrides,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,deleteNonExistingObject,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,abortMultipartUploadInNonExistingBucket,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,uploadMultipartWithInvalidPartNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
S3Mock,com.adobe.testing.s3mock.its,ErrorResponsesIT,completeMultipartUploadWithNonExistingPartNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
