Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
S3Mock,com.adobe.testing.s3mock.dto,ObjectRef,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DELIMITER
S3Mock,com.adobe.testing.s3mock,FileStoreController,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
S3Mock,com.adobe.testing.s3mock,S3MockApplication,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_HTTPS_PORT; DEFAULT_HTTP_PORT; RANDOM_PORT; DEFAULT_SERVER_SSL_KEY_STORE; DEFAULT_SERVER_SSL_KEY_STORE_PASSWORD; DEFAULT_SERVER_SSL_KEY_ALIAS; DEFAULT_SERVER_SSL_KEY_PASSWORD; PROP_INITIAL_BUCKETS; PROP_ROOT_DIRECTORY; PROP_HTTPS_PORT; PROP_HTTP_PORT; SERVER_SSL_KEY_STORE; SERVER_SSL_KEY_STORE_PASSWORD; SERVER_SSL_KEY_ALIAS; SERVER_SSL_KEY_PASSWORD; PROP_SECURE_CONNECTION; PROP_SILENT
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
S3Mock,com.adobe.testing.s3mock.store,FileStore,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
S3Mock,com.adobe.testing.s3mock.util,AwsHttpHeaders,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: X_AMZ_SERVER_SIDE_ENCRYPTION_AWS_KMS_KEY_ID; X_AMZ_SERVER_SIDE_ENCRYPTION; NOT_X_AMZ_SERVER_SIDE_ENCRYPTION; RANGE; X_AMZ_COPY_SOURCE; NOT_X_AMZ_COPY_SOURCE; X_AMZ_COPY_SOURCE_RANGE; NOT_X_AMZ_COPY_SOURCE_RANGE; X_AMZ_METADATA_DIRECTIVE; X_AMZ_CONTENT_SHA256; X_AMZ_TAGGING; CONTENT_MD5
S3Mock,com.adobe.testing.s3mock.util,AwsHttpParameters,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CONTINUATION_TOKEN; DELETE; ENCODING_TYPE; LIST_TYPE_V2; MAX_KEYS; PART_NUMBER; START_AFTER; TAGGING; UPLOADS; UPLOAD_ID; NOT_UPLOAD_ID
S3Mock,com.adobe.testing.s3mock.testsupport.common,S3MockStarter.BaseBuilder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
S3Mock,com.adobe.testing.s3mock.junit4,S3MockRule.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
S3Mock,com.adobe.testing.s3mock.junit4,S3MockRuleTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: S3_MOCK_RULE
S3Mock,com.adobe.testing.s3mock.junit5,S3MockExtension.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
S3Mock,com.adobe.testing.s3mock.junit5.sdk1,CustomCertificateTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: s3mock
S3Mock,com.adobe.testing.s3mock.testcontainers,S3MockContainer,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: IMAGE_NAME
