Project Name,Package Name,Architecture Smell,Cause of the Smell
S3Mock,com.adobe.testing.s3mock.domain,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.domain; com.adobe.testing.s3mock.dto
S3Mock,com.adobe.testing.s3mock.domain,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.domain; com.adobe.testing.s3mock.dto; com.adobe.testing.s3mock.util
S3Mock,com.adobe.testing.s3mock.domain,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Bucket; FileStore; MultipartUploadInfo; S3Object; FileStoreTest]; [BucketContents]; [Buckets]; [KmsKeyStore]; [S3Exception]; [Tag]; [ObjectRefTest]. LCC (Lack of Component Cohesion) = 0.64
S3Mock,com.adobe.testing.s3mock.dto,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 35
S3Mock,com.adobe.testing.s3mock.dto,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.dto; com.adobe.testing.s3mock.domain
S3Mock,com.adobe.testing.s3mock.dto,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.dto; com.adobe.testing.s3mock.domain; com.adobe.testing.s3mock.util
S3Mock,com.adobe.testing.s3mock.dto,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.adobe.testing.s3mock.domain; com.adobe.testing.s3mock.util
S3Mock,com.adobe.testing.s3mock.dto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BatchDeleteRequest]; [BatchDeleteResponse; ObjectIdentifier; BatchDeleteResponseTest]; [CompleteMultipartUploadRequest]; [CompleteMultipartUploadResult; CompleteMultipartUploadResultTest]; [CopyObjectResult; CopyObjectResultTest]; [CopyPartResult; CopyPartResultTest]; [ErrorResponse; ErrorResponseTest]; [EtagSerializer; EtagSerializerTest]; [InitiateMultipartUploadResult; InitiateMultipartUploadResultTest]; [ListAllMyBucketsResult; Owner; ListAllMyBucketsResultTest; MultipartUpload]; [ListBucketResult; ListBucketResultTest]; [ListBucketResultV2; ListBucketResultV2Test]; [ListMultipartUploadsResult; ListMultipartUploadsResultTest]; [ListPartsResult; ListPartsResultTest; Part]; [ObjectRef]; [Prefix]; [Range]; [Tagging]; [DtoTestUtil]. LCC (Lack of Component Cohesion) = 0.54
S3Mock,com.adobe.testing.s3mock,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FaviconController]; [FileStoreController; MetadataDirective]; [KmsValidationFilter]; [S3MockApplication]; [S3MockApplication.Config]; [RangeConverterTest]. LCC (Lack of Component Cohesion) = 0.86
S3Mock,com.adobe.testing.s3mock.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.util; com.adobe.testing.s3mock.domain
S3Mock,com.adobe.testing.s3mock.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.util; com.adobe.testing.s3mock.domain; com.adobe.testing.s3mock.dto
S3Mock,com.adobe.testing.s3mock.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.adobe.testing.s3mock.domain
S3Mock,com.adobe.testing.s3mock.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AwsChunkDecodingInputStream]; [AwsHttpHeaders]; [HashUtil]; [MetadataUtil]; [ObjectRefConverter]; [RangeConverter]; [S3MockExceptionHandler]; [StringEncoding]; [StringEncodingTest]. LCC (Lack of Component Cohesion) = 1.0
