Project Name,Package Name,Architecture Smell,Cause of the Smell
S3Mock,com.adobe.testing.s3mock.dto,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 47
S3Mock,com.adobe.testing.s3mock.dto,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.dto; com.adobe.testing.s3mock.util
S3Mock,com.adobe.testing.s3mock.dto,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.dto; com.adobe.testing.s3mock.util; com.adobe.testing.s3mock.store
S3Mock,com.adobe.testing.s3mock.dto,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.adobe.testing.s3mock.util
S3Mock,com.adobe.testing.s3mock.dto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BatchDeleteRequest; BatchDeleteRequestTest; BatchDeleteResponse; DeletedS3Object; S3ObjectIdentifier; BatchDeleteResponseTest]; [Bucket; ListAllMyBucketsResultTest; Buckets; ListAllMyBucketsResult; Owner; S3Object; StorageClass; ListBucketResultTest; ListBucketResultV2Test; ListBucketResult; ListBucketResultV2; ListPartsResult; MultipartUpload]; [CompletedPart; CompleteMultipartUploadRequest; Part; CompleteMultipartUploadRequestTest; ListPartsResultTest]; [CompleteMultipartUploadResult; CompleteMultipartUploadResultTest]; [CopyObjectResult; CopyObjectResultTest]; [CopyPartResult; CopyPartResultTest]; [CopySource]; [Error]; [ErrorResponse; ErrorResponseTest]; [EtagDeserializer]; [EtagSerializer; EtagSerializerTest]; [InitiateMultipartUploadResult; InitiateMultipartUploadResultTest]; [ListMultipartUploadsResult; ListMultipartUploadsResultTest]; [Prefix]; [Range]; [Tag; TaggingTest; Tagging]; [DtoTestUtil]. LCC (Lack of Component Cohesion) = 0.36
S3Mock,com.adobe.testing.s3mock,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FaviconController; S3MockConfiguration; S3MockProperties; TaggingHeaderConverter; TaggingHeaderConverterTest; FileStoreController; S3Exception; S3MockApplication]; [KmsValidationFilter]; [S3MockConfiguration.S3MockExceptionHandler]; [ContextPathFileStoreControllerTest]; [FaviconControllerTest]; [FileStoreControllerTest]; [FileStoreControllerTest.Param]. LCC (Lack of Component Cohesion) = 0.5
S3Mock,com.adobe.testing.s3mock.store,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.store; com.adobe.testing.s3mock.util
S3Mock,com.adobe.testing.s3mock.store,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.store; com.adobe.testing.s3mock.dto; com.adobe.testing.s3mock.util
S3Mock,com.adobe.testing.s3mock.store,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DomainConfiguration; DomainProperties; FileStore; KmsKeyStore; MultipartUploadInfo; S3Object; FileStoreTest; KmsKeyStoreTest]; [CopySourceTest]. LCC (Lack of Component Cohesion) = 0.22
S3Mock,com.adobe.testing.s3mock.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.util; com.adobe.testing.s3mock.store
S3Mock,com.adobe.testing.s3mock.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.util; com.adobe.testing.s3mock.store; com.adobe.testing.s3mock.dto
S3Mock,com.adobe.testing.s3mock.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.adobe.testing.s3mock.store
S3Mock,com.adobe.testing.s3mock.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AwsChunkedDecodingInputStream]; [AwsHttpHeaders]; [AwsHttpHeaders.MetadataDirective]; [AwsHttpParameters]; [DigestUtil]; [MetadataUtil]; [StringEncoding]; [RangeTest]; [StringEncodingTest]. LCC (Lack of Component Cohesion) = 1.0
