Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
S3Mock,com.adobe.testing.s3mock.dto,BatchDeleteRequest,2,0,4,4,19,4,0,0,0.5,2,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\BatchDeleteRequest.java,24
S3Mock,com.adobe.testing.s3mock.dto,BatchDeleteResponse,2,0,4,4,19,4,0,0,0.5,2,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\BatchDeleteResponse.java,25
S3Mock,com.adobe.testing.s3mock.dto,Bucket,3,0,7,7,37,7,0,0,0.0,6,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Bucket.java,22
S3Mock,com.adobe.testing.s3mock.dto,Buckets,1,0,2,2,12,2,0,0,0.0,1,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Buckets.java,24
S3Mock,com.adobe.testing.s3mock.dto,CompletedPart,2,0,4,4,19,4,1,0,0.5,3,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\CompletedPart.java,23
S3Mock,com.adobe.testing.s3mock.dto,CompleteMultipartUploadRequest,1,0,3,3,15,3,0,0,0.0,3,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\CompleteMultipartUploadRequest.java,25
S3Mock,com.adobe.testing.s3mock.dto,CompleteMultipartUploadResult,4,0,1,1,22,1,0,0,0.0,1,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\CompleteMultipartUploadResult.java,23
S3Mock,com.adobe.testing.s3mock.dto,CopyObjectResult,2,0,5,5,28,5,0,0,0.0,2,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\CopyObjectResult.java,23
S3Mock,com.adobe.testing.s3mock.dto,CopyPartResult,2,0,4,4,20,4,0,0,0.0,2,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\CopyPartResult.java,25
S3Mock,com.adobe.testing.s3mock.dto,CopySource,3,1,5,3,40,7,0,0,0.0,2,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\CopySource.java,23
S3Mock,com.adobe.testing.s3mock.dto,DeletedS3Object,2,0,5,5,25,5,0,1,0.6,3,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\DeletedS3Object.java,22
S3Mock,com.adobe.testing.s3mock.dto,Error,4,0,9,9,39,9,0,0,0.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Error.java,21
S3Mock,com.adobe.testing.s3mock.dto,ErrorResponse,4,0,4,4,21,4,0,0,1.0,3,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\ErrorResponse.java,22
S3Mock,com.adobe.testing.s3mock.dto,EtagDeserializer,0,0,1,1,13,2,0,0,-1.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\EtagDeserializer.java,27
S3Mock,com.adobe.testing.s3mock.dto,EtagSerializer,0,0,1,1,12,2,0,0,-1.0,1,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\EtagSerializer.java,27
S3Mock,com.adobe.testing.s3mock.dto,InitiateMultipartUploadResult,3,0,1,1,13,1,0,0,0.0,1,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\InitiateMultipartUploadResult.java,22
S3Mock,com.adobe.testing.s3mock.dto,ListAllMyBucketsResult,2,0,5,5,24,5,0,0,0.0,3,2,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\ListAllMyBucketsResult.java,23
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResult,9,0,1,1,26,1,0,0,0.0,2,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\ListBucketResult.java,29
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultV2,11,0,1,1,30,1,0,0,0.0,1,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\ListBucketResultV2.java,29
S3Mock,com.adobe.testing.s3mock.dto,ListMultipartUploadsResult,11,0,1,1,29,1,0,0,0.0,1,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\ListMultipartUploadsResult.java,25
S3Mock,com.adobe.testing.s3mock.dto,ListPartsResult,8,0,1,1,19,1,0,0,0.0,1,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\ListPartsResult.java,24
S3Mock,com.adobe.testing.s3mock.dto,MultipartUpload,6,0,7,7,36,7,0,0,0.2857142857142857,4,2,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\MultipartUpload.java,23
S3Mock,com.adobe.testing.s3mock.dto,Owner,2,0,6,6,25,6,0,0,0.3333333333333333,8,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Owner.java,21
S3Mock,com.adobe.testing.s3mock.dto,Part,2,0,6,6,32,8,0,1,0.0,5,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Part.java,24
S3Mock,com.adobe.testing.s3mock.dto,Prefix,1,0,1,1,6,1,0,0,0.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Prefix.java,21
S3Mock,com.adobe.testing.s3mock.dto,Range,4,0,4,4,49,8,0,0,0.0,4,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Range.java,25
S3Mock,com.adobe.testing.s3mock.dto,S3Object,6,0,8,8,39,8,0,0,0.25,3,2,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\S3Object.java,22
S3Mock,com.adobe.testing.s3mock.dto,S3ObjectIdentifier,2,0,4,4,19,4,1,0,0.5,3,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\S3ObjectIdentifier.java,21
S3Mock,com.adobe.testing.s3mock.dto,StorageClass,1,0,0,0,11,0,0,0,-1.0,7,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\StorageClass.java,21
S3Mock,com.adobe.testing.s3mock.dto,Tag,2,0,9,9,43,11,0,0,0.2222222222222222,1,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Tag.java,22
S3Mock,com.adobe.testing.s3mock.dto,Tagging,1,0,4,4,17,4,0,0,0.5,2,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Tagging.java,25
S3Mock,com.adobe.testing.s3mock.dto,BatchDeleteRequestTest,0,0,1,0,13,1,0,0,-1.0,0,2,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\BatchDeleteRequestTest.java,26
S3Mock,com.adobe.testing.s3mock.dto,BatchDeleteResponseTest,0,0,1,0,14,2,0,0,-1.0,0,3,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\BatchDeleteResponseTest.java,25
S3Mock,com.adobe.testing.s3mock.dto,CompleteMultipartUploadRequestTest,0,0,1,0,9,1,0,0,-1.0,0,2,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\dto\CompleteMultipartUploadRequestTest.java,26
