Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
S3Mock,com.adobe.testing.s3mock,MultipartController,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
S3Mock,com.adobe.testing.s3mock,ObjectController,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
S3Mock,com.adobe.testing.s3mock,S3Exception,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INVALID_PART_NUMBER; INVALID_PART; INVALID_PART_ORDER; NO_SUCH_UPLOAD_MULTIPART; ENTITY_TOO_SMALL; NO_SUCH_BUCKET; NO_SUCH_LIFECYCLE_CONFIGURATION; NO_SUCH_KEY; NOT_MODIFIED; PRECONDITION_FAILED; BUCKET_NOT_EMPTY; INVALID_BUCKET_NAME; BUCKET_ALREADY_EXISTS; NOT_FOUND_BUCKET_OBJECT_LOCK; NOT_FOUND_OBJECT_LOCK; INVALID_REQUEST_RETAINDATE; INVALID_REQUEST_MAXKEYS; INVALID_REQUEST_ENCODINGTYPE; BAD_REQUEST_MD5; BAD_REQUEST_CONTENT
S3Mock,com.adobe.testing.s3mock,S3MockApplication,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_HTTPS_PORT; DEFAULT_HTTP_PORT; RANDOM_PORT; DEFAULT_SERVER_SSL_KEY_STORE; DEFAULT_SERVER_SSL_KEY_STORE_PASSWORD; DEFAULT_SERVER_SSL_KEY_ALIAS; DEFAULT_SERVER_SSL_KEY_PASSWORD; PROP_INITIAL_BUCKETS; PROP_ROOT_DIRECTORY; PROP_HTTPS_PORT; PROP_HTTP_PORT; SERVER_SSL_KEY_STORE; SERVER_SSL_KEY_STORE_PASSWORD; SERVER_SSL_KEY_ALIAS; SERVER_SSL_KEY_PASSWORD; PROP_SECURE_CONNECTION; PROP_SILENT
S3Mock,com.adobe.testing.s3mock,S3MockConfiguration,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 20
S3Mock,com.adobe.testing.s3mock,ObjectControllerTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
S3Mock,com.adobe.testing.s3mock.dto,CopySource,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DELIMITER
S3Mock,com.adobe.testing.s3mock.dto,Grantee.CanonicalUser,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
S3Mock,com.adobe.testing.s3mock.dto,Grantee.Group,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
S3Mock,com.adobe.testing.s3mock.dto,Grantee.AmazonCustomerByEmail,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
