Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
S3Mock,com.adobe.testing.s3mock,BucketController,BucketController,3,1,1,56,0,,
S3Mock,com.adobe.testing.s3mock,BucketController,listBuckets,4,1,0,64,0,,
S3Mock,com.adobe.testing.s3mock,BucketController,createBucket,6,1,2,86,0,,
S3Mock,com.adobe.testing.s3mock,BucketController,headBucket,4,1,1,115,0,,
S3Mock,com.adobe.testing.s3mock,BucketController,deleteBucket,6,1,1,132,0,,
S3Mock,com.adobe.testing.s3mock,BucketController,getObjectLockConfiguration,5,1,1,154,0,,
S3Mock,com.adobe.testing.s3mock,BucketController,putObjectLockConfiguration,5,1,2,180,0,,
S3Mock,com.adobe.testing.s3mock,BucketController,getBucketLifecycleConfiguration,5,1,1,204,0,,
S3Mock,com.adobe.testing.s3mock,BucketController,putBucketLifecycleConfiguration,5,1,2,231,0,,
S3Mock,com.adobe.testing.s3mock,BucketController,deleteBucketLifecycleConfiguration,5,1,1,255,0,,
S3Mock,com.adobe.testing.s3mock,BucketController,listObjects,7,1,6,277,0,,
S3Mock,com.adobe.testing.s3mock,BucketController,listObjectsV2,7,1,7,317,0,,
S3Mock,com.adobe.testing.s3mock,FaviconController,favicon,2,1,0,28,0,,
S3Mock,com.adobe.testing.s3mock,KmsValidationFilter,KmsValidationFilter,4,1,2,52,0,,
S3Mock,com.adobe.testing.s3mock,KmsValidationFilter,doFilterInternal,32,3,3,63,0,,
S3Mock,com.adobe.testing.s3mock,MultipartController,MultipartController,5,1,3,78,0,,
S3Mock,com.adobe.testing.s3mock,MultipartController,listMultipartUploads,5,1,2,89,0,,
S3Mock,com.adobe.testing.s3mock,MultipartController,abortMultipartUpload,5,1,3,130,0,,
S3Mock,com.adobe.testing.s3mock,MultipartController,listParts,6,1,3,157,0,,
S3Mock,com.adobe.testing.s3mock,MultipartController,uploadPart,6,1,8,188,0,,
S3Mock,com.adobe.testing.s3mock,MultipartController,uploadPartCopy,7,1,10,238,0,,
S3Mock,com.adobe.testing.s3mock,MultipartController,createMultipartUpload,7,1,7,297,0,,
S3Mock,com.adobe.testing.s3mock,MultipartController,completeMultipartUpload,6,1,7,337,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,ObjectController,4,1,2,108,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,deleteObjects,5,1,2,117,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,headObject,11,2,4,148,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,deleteObject,5,1,2,183,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,getObject,9,2,6,209,0,com.adobe.testing.s3mock.ObjectController,com.adobe.testing.s3mock.ObjectController
S3Mock,com.adobe.testing.s3mock,ObjectController,putObjectAcl,7,1,3,262,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,getObjectAcl,6,1,2,295,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,getObjectTagging,7,1,2,326,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,putObjectTagging,6,1,3,356,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,getLegalHold,6,1,2,385,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,putLegalHold,7,1,3,412,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,getObjectRetention,6,1,2,440,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,putObjectRetention,8,1,3,467,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,putObject,8,1,11,496,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,copyObject,14,3,9,561,0,,
S3Mock,com.adobe.testing.s3mock,ObjectController,getObjectWithRange,19,3,2,635,0,,
S3Mock,com.adobe.testing.s3mock,S3Exception,S3Exception,6,1,3,99,0,,
S3Mock,com.adobe.testing.s3mock,S3Exception,getStatus,3,1,0,113,0,,
S3Mock,com.adobe.testing.s3mock,S3Exception,getCode,3,1,0,117,0,,
S3Mock,com.adobe.testing.s3mock,S3Exception,getMessage,3,1,0,121,0,,
S3Mock,com.adobe.testing.s3mock,S3MockApplication,main,3,1,1,128,0,,
S3Mock,com.adobe.testing.s3mock,S3MockApplication,start,3,1,1,137,0,,
S3Mock,com.adobe.testing.s3mock,S3MockApplication,start,16,2,2,148,0,com.adobe.testing.s3mock.S3MockApplication,com.adobe.testing.s3mock.S3MockApplication
S3Mock,com.adobe.testing.s3mock,S3MockApplication,translateLegacyProperties,9,1,1,186,0,com.adobe.testing.s3mock.S3MockApplication,com.adobe.testing.s3mock.S3MockApplication
S3Mock,com.adobe.testing.s3mock,S3MockApplication,translateLegacyProperty,15,5,3,220,0,,
S3Mock,com.adobe.testing.s3mock,S3MockApplication,stop,3,1,0,240,0,,
S3Mock,com.adobe.testing.s3mock,S3MockApplication,getPort,3,1,0,247,0,,
S3Mock,com.adobe.testing.s3mock,S3MockApplication,getHttpPort,3,1,0,259,0,,
S3Mock,com.adobe.testing.s3mock,S3MockApplication,registerKMSKeyRef,3,1,1,271,0,,
S3Mock,com.adobe.testing.s3mock,S3MockConfiguration,webServerFactory,5,1,1,58,0,,
S3Mock,com.adobe.testing.s3mock,S3MockConfiguration,createHttpConnector,5,1,2,72,0,,
S3Mock,com.adobe.testing.s3mock,S3MockConfiguration,getHttpServerConnector,3,1,0,78,0,,
