Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
S3Mock,com.adobe.testing.s3mock.dto,ObjectRef,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DELIMITER
S3Mock,com.adobe.testing.s3mock,FileStoreController,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
S3Mock,com.adobe.testing.s3mock,S3MockApplication,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_HTTPS_PORT; DEFAULT_HTTP_PORT; RANDOM_PORT; DEFAULT_SERVER_SSL_KEY_STORE; DEFAULT_SERVER_SSL_KEY_STORE_PASSWORD; DEFAULT_SERVER_SSL_KEY_ALIAS; DEFAULT_SERVER_SSL_KEY_PASSWORD; PROP_INITIAL_BUCKETS; PROP_ROOT_DIRECTORY; PROP_HTTPS_PORT; PROP_HTTP_PORT; SERVER_SSL_KEY_STORE; SERVER_SSL_KEY_STORE_PASSWORD; SERVER_SSL_KEY_ALIAS; SERVER_SSL_KEY_PASSWORD; PROP_SECURE_CONNECTION; PROP_SILENT
S3Mock,com.adobe.testing.s3mock.util,AwsHttpHeaders,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SERVER_SIDE_ENCRYPTION_AWS_KMS_KEYID; SERVER_SIDE_ENCRYPTION; NOT_SERVER_SIDE_ENCRYPTION; RANGE; COPY_SOURCE; NOT_COPY_SOURCE; COPY_SOURCE_RANGE; NOT_COPY_SOURCE_RANGE; METADATA_DIRECTIVE
S3Mock,com.adobe.testing.s3mock.testsupport.common,S3MockStarter.BaseBuilder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
S3Mock,com.adobe.testing.s3mock.junit4,S3MockRule.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
S3Mock,com.adobe.testing.s3mock.junit4,S3MockRuleTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: S3_MOCK_RULE
S3Mock,com.adobe.testing.s3mock.junit5,S3MockExtension.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
S3Mock,com.adobe.testing.s3mock.junit5.sdk1,CustomCertificateTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: s3mock
S3Mock,com.adobe.testing.s3mock.testcontainers,S3MockContainer,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: IMAGE_NAME
