Project Name,Package Name,Architecture Smell,Cause of the Smell
S3Mock,com.adobe.testing.s3mock,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BucketController; S3MockConfiguration; S3MockProperties; TaggingHeaderConverter; TaggingHeaderConverterTest; FaviconController; MultipartController; ObjectController; S3MockApplication]; [KmsValidationFilter]; [S3Exception; BucketControllerTest; MultipartControllerTest]; [S3MockConfiguration.S3MockExceptionHandler]; [S3MockConfiguration.IllegalStateExceptionHandler]; [ContextPathObjectStoreControllerTest]; [FaviconControllerTest]; [ObjectControllerTest]. LCC (Lack of Component Cohesion) = 0.44
S3Mock,com.adobe.testing.s3mock.dto,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 81
S3Mock,com.adobe.testing.s3mock.dto,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.dto; com.adobe.testing.s3mock.store
S3Mock,com.adobe.testing.s3mock.dto,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.dto; com.adobe.testing.s3mock.util; com.adobe.testing.s3mock.store
S3Mock,com.adobe.testing.s3mock.dto,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.adobe.testing.s3mock.store; com.adobe.testing.s3mock.util
S3Mock,com.adobe.testing.s3mock.dto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbortIncompleteMultipartUpload; LifecycleRule; LifecycleRuleFilter; NoncurrentVersionExpiration; NoncurrentVersionTransition; StorageClass; Transition; BucketLifecycleConfigurationTest; ListBucketResultTest; ListBucketResultV2Test; AccessControlPolicy; Owner; S3Object; AccessControlPolicyTest; BucketLifecycleConfiguration; Buckets; ListAllMyBucketsResult; Grant; Grantee; Grantee.CanonicalUser; Grantee.Group; Grantee.AmazonCustomerByEmail; LifecycleExpiration; LifecycleRuleAndOperator; ListBucketResult; ListBucketResultV2; ListPartsResult; ListPartsResultTest; MultipartUpload]; [Bucket; ListAllMyBucketsResultTest]; [CompletedPart; CompleteMultipartUpload; Part; CompleteMultipartUploadTest]; [CompleteMultipartUploadResult; CompleteMultipartUploadResultTest]; [CopyObjectResult; CopyObjectResultTest]; [CopyPartResult; CopyPartResultTest]; [CopySource; CopySourceTest]; [DefaultRetention; Mode; ObjectLockRule; Retention; ObjectLockConfigurationTest; RetentionTest; ObjectLockConfiguration; ObjectLockEnabled]; [Delete; DeleteTest; DeletedS3Object; DeleteResult; S3ObjectIdentifier; DeleteResultTest]; [Error]; [ErrorResponse; ErrorResponseTest]; [Grant.Permission]; [InitiateMultipartUploadResult; InitiateMultipartUploadResultTest]; [InstantDeserializer]; [InstantSerializer]; [LegalHold; LegalHoldTest]; [LegalHold.Status]; [LifecycleRule.Status]; [ListMultipartUploadsResult; ListMultipartUploadsResultTest]; [LocationConstraint; LocationConstraintTest]; [ObjectKey]; [Prefix]; [Range]; [RegionSerializer]; [Tag; TaggingTest; Tagging]; [DtoTestUtil]. LCC (Lack of Component Cohesion) = 0.32
S3Mock,com.adobe.testing.s3mock.service,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BucketService; ServiceConfiguration; BucketServiceTest; ServiceTestBase; MultipartService; MultipartServiceTest; ObjectService; ObjectServiceTest]; [BucketServiceTest.Param]. LCC (Lack of Component Cohesion) = 0.22
S3Mock,com.adobe.testing.s3mock.store,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.store; com.adobe.testing.s3mock.dto
S3Mock,com.adobe.testing.s3mock.store,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.store; com.adobe.testing.s3mock.dto; com.adobe.testing.s3mock.util
S3Mock,com.adobe.testing.s3mock.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.util; com.adobe.testing.s3mock.dto
S3Mock,com.adobe.testing.s3mock.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.adobe.testing.s3mock.util; com.adobe.testing.s3mock.store; com.adobe.testing.s3mock.dto
S3Mock,com.adobe.testing.s3mock.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.adobe.testing.s3mock.store
S3Mock,com.adobe.testing.s3mock.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AwsChunkedDecodingInputStream]; [AwsHttpHeaders]; [AwsHttpHeaders.MetadataDirective]; [AwsHttpParameters]; [DigestUtil; DigestUtilTest]; [EtagUtil]; [HeaderUtil]; [XmlUtil]; [EtagUtilTest]; [RangeTest]. LCC (Lack of Component Cohesion) = 0.91
