Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
S3Mock,com.adobe.testing.s3mock,BucketController,2,0,13,13,140,13,0,0,0.0,1,6,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\BucketController.java,52
S3Mock,com.adobe.testing.s3mock,FaviconController,0,0,1,0,7,1,0,0,-1.0,1,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\FaviconController.java,22
S3Mock,com.adobe.testing.s3mock,KmsValidationFilter,4,0,2,0,49,4,0,0,0.0,0,2,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\KmsValidationFilter.java,38
S3Mock,com.adobe.testing.s3mock,MultipartController,3,0,8,8,107,8,0,0,0.0,1,13,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\MultipartController.java,68
S3Mock,com.adobe.testing.s3mock,ObjectController,3,0,16,15,214,22,0,0,0.0,1,15,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\ObjectController.java,97
S3Mock,com.adobe.testing.s3mock,S3Exception,24,21,4,4,50,4,0,0,0.0,2,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\S3Exception.java,26
S3Mock,com.adobe.testing.s3mock,S3MockApplication,23,17,9,7,152,14,0,0,0.7777777777777778,3,2,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\S3MockApplication.java,33
S3Mock,com.adobe.testing.s3mock,S3MockConfiguration,3,0,16,2,121,16,0,0,0.9375,1,10,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\S3MockConfiguration.java,53
S3Mock,com.adobe.testing.s3mock,S3MockConfiguration.S3MockExceptionHandler,1,0,0,0,21,0,0,0,-1.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\S3MockConfiguration.java,173
S3Mock,com.adobe.testing.s3mock,S3MockConfiguration.IllegalStateExceptionHandler,1,0,0,0,21,0,0,0,-1.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\S3MockConfiguration.java,207
S3Mock,com.adobe.testing.s3mock,S3MockProperties,3,0,6,6,35,7,0,0,0.5,1,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\S3MockProperties.java,22
S3Mock,com.adobe.testing.s3mock,TaggingHeaderConverter,1,0,1,1,18,3,0,0,0.0,2,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\TaggingHeaderConverter.java,27
S3Mock,com.adobe.testing.s3mock,BucketControllerTest,6,0,23,0,159,23,0,0,0.0,0,20,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\BucketControllerTest.java,81
S3Mock,com.adobe.testing.s3mock,ContextPathObjectStoreControllerTest,6,0,1,0,16,1,0,0,0.0,0,4,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\ContextPathObjectStoreControllerTest.java,48
S3Mock,com.adobe.testing.s3mock,FaviconControllerTest,1,0,1,0,7,1,0,0,0.0,0,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\FaviconControllerTest.java,35
S3Mock,com.adobe.testing.s3mock,MultipartControllerTest,6,0,7,0,80,11,0,0,0.0,0,6,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\MultipartControllerTest.java,57
S3Mock,com.adobe.testing.s3mock,ObjectControllerTest,7,0,16,0,144,16,0,0,0.0,0,12,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\ObjectControllerTest.java,81
S3Mock,com.adobe.testing.s3mock,TaggingHeaderConverterTest,0,0,2,0,20,2,0,0,-1.0,0,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\test\java\com\adobe\testing\s3mock\TaggingHeaderConverterTest.java,25
S3Mock,com.adobe.testing.s3mock.dto,AbortIncompleteMultipartUpload,1,0,6,6,30,8,0,0,0.3333333333333333,1,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\AbortIncompleteMultipartUpload.java,23
S3Mock,com.adobe.testing.s3mock.dto,AccessControlPolicy,2,0,8,8,38,10,0,0,0.25,7,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\AccessControlPolicy.java,27
S3Mock,com.adobe.testing.s3mock.dto,Bucket,3,0,8,8,43,9,0,0,0.25,6,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Bucket.java,25
S3Mock,com.adobe.testing.s3mock.dto,BucketLifecycleConfiguration,1,0,6,6,30,8,0,0,0.3333333333333333,7,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\BucketLifecycleConfiguration.java,26
S3Mock,com.adobe.testing.s3mock.dto,Buckets,1,0,2,2,12,2,0,0,0.0,1,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\Buckets.java,24
S3Mock,com.adobe.testing.s3mock.dto,CompletedPart,2,0,3,3,17,3,1,0,0.0,2,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\CompletedPart.java,24
S3Mock,com.adobe.testing.s3mock.dto,CompleteMultipartUpload,1,0,3,3,15,3,0,0,0.0,3,1,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\CompleteMultipartUpload.java,25
S3Mock,com.adobe.testing.s3mock.dto,CompleteMultipartUploadResult,4,0,1,1,22,1,0,0,0.0,2,0,C:\Users\AVuser\Desktop\ASDC A2\.\S3Mock\server\src\main\java\com\adobe\testing\s3mock\dto\CompleteMultipartUploadResult.java,24
